date,year,close,ret_1d,vol20,dd120,sma200_dist,f1_breadth,f2_gdr_basis,f3_rate_mom,f4_fx_vel,f4_fx_acc,f5_hhi,f6_herding,f7_panic,f8_illiq,f9_ratio,f10_spread,target_mae_60,target_mdd_60,state,in_risk_set,b1_vol,b2_dd,b3_sma,b4_composite
2016-07-25,2016,7517.78,0.00724,0.2975,-0.0468,0.0739,0.3481,-0.4045,1.557,0.0002,-0.1344,0.4337,-0.0383,0.1017,0.00467,0.1565,0.0,-0.0,0.0677,0,1,0,0,0,0
2016-07-26,2016,7539.99,0.00295,0.2924,-0.044,0.0768,0.34,-0.4195,1.478,-0.0,-0.1343,0.4272,-0.0371,0.0887,0.00455,0.1985,0.0,-0.0,0.0677,0,1,0,0,0,0
2016-07-27,2016,7914.74,0.0497,0.3331,0.0,0.1298,0.4491,-0.4304,1.483,-0.0007,-0.1431,0.4086,-0.0377,0.0887,0.00464,0.1004,0.0,0.0042,0.0677,0,1,1,0,0,0
2016-07-28,2016,8030.85,0.01467,0.2527,0.0,0.1458,0.4601,-0.4387,1.166,0.0004,-0.1335,0.3993,-0.0373,0.0333,0.00386,0.1153,0.0,0.0186,0.0677,0,1,0,0,0,0
2016-07-31,2016,7983.15,-0.00594,0.2573,-0.0059,0.1386,0.4367,-0.4457,1.408,0.0011,-0.1331,0.4018,-0.0429,0.0393,0.00363,0.0978,0.0,0.0128,0.0677,0,1,0,0,0,0
2016-08-01,2016,7930.14,-0.00664,0.2617,-0.0125,0.1308,0.425,-0.4429,1.122,0.0,-0.1348,0.3762,-0.0426,0.0459,0.00353,0.0169,0.0,0.0062,0.0677,0,1,0,0,0,0
2016-08-02,2016,7973.45,0.00546,0.261,-0.0071,0.1367,0.4422,-0.4347,1.382,-0.0002,-0.1355,0.3706,-0.038,0.0459,0.00352,0.0272,0.0,0.0116,0.0677,0,1,0,0,0,0
2016-08-03,2016,8104.57,0.01644,0.2629,0.0,0.155,0.5,-0.433,1.844,-0.0002,-0.1331,0.3558,-0.0399,0.0459,0.0036,0.0206,0.0,0.0276,0.0677,0,1,0,0,0,0
2016-08-04,2016,8255.36,0.01861,0.2548,0.0,0.1759,0.5309,-0.4339,2.078,-0.0019,-0.1381,0.393,-0.0363,0.0459,0.00326,-0.0217,0.0,0.0453,0.0677,0,1,0,0,0,0
2016-08-07,2016,8223.46,-0.00386,0.2126,-0.0039,0.1708,0.5455,-0.4353,2.077,-0.0004,-0.135,0.3936,-0.0362,0.0498,0.00288,-0.0487,0.0,0.0416,0.0677,0,1,0,0,0,0
2016-08-08,2016,8273.14,0.00604,0.2115,0.0,0.1774,0.5494,-0.4444,1.993,0.0003,-0.1337,0.3731,-0.0388,0.0483,0.00268,-0.0089,0.0,0.0474,0.0677,0,1,0,0,0,0
2016-08-09,2016,8199.65,-0.00888,0.2133,-0.0089,0.1664,0.5461,-0.4533,2.037,-0.0,-0.1343,0.2658,-0.045,0.0507,0.00274,-0.0332,0.0,0.0388,0.0677,0,1,0,0,0,0
2016-08-10,2016,8291.51,0.0112,0.2122,0.0,0.179,0.575,-0.4533,1.865,0.0003,-0.1449,0.1883,-0.0452,0.0507,0.00273,-0.0571,0.0,0.0495,0.0677,0,1,0,0,0,0
2016-08-11,2016,8377.71,0.0104,0.213,0.0,0.1906,0.5742,-0.4551,1.826,0.0006,-0.1335,0.1341,-0.0464,0.0507,0.00284,-0.091,0.0,0.0593,0.0677,0,1,0,0,0,0
2016-08-14,2016,8351.07,-0.00318,0.2147,-0.0032,0.1862,0.6273,-0.4545,1.826,0.0022,-0.1323,0.1,-0.0417,0.0538,0.00275,-0.1339,0.0,0.0563,0.0677,0,1,0,0,0,0
2016-08-15,2016,8453.53,0.01227,0.2162,0.0,0.2,0.6098,-0.449,2.1,0.002,-0.132,0.0969,-0.0431,0.0538,0.00267,-0.1161,0.0,0.0677,0.0677,0,1,0,0,0,0
2016-08-16,2016,8387.49,-0.00781,0.2185,-0.0078,0.1899,0.5641,-0.4443,1.611,0.0025,-0.1312,0.1018,-0.0487,0.0575,0.00275,-0.1224,0.0,0.0604,0.0604,0,1,0,0,0,0
2016-08-17,2016,8347.38,-0.00478,0.2125,-0.0126,0.1835,0.5759,-0.4339,1.797,0.0023,-0.1504,0.1033,-0.0508,0.05,0.00265,-0.1739,0.0,0.0559,0.0564,0,1,0,0,0,0
2016-08-18,2016,8317.17,-0.00362,0.2088,-0.0161,0.1786,0.5432,-0.4151,1.904,-0.0004,-0.1352,0.1197,-0.0558,0.0447,0.00263,-0.1621,0.0,0.0524,0.0564,0,1,0,0,0,0
2016-08-21,2016,8352.27,0.00422,0.2087,-0.012,0.1827,0.5137,-0.3982,1.986,0.0048,-0.13,0.1062,-0.0519,0.0447,0.0026,-0.1478,0.0,0.0564,0.0564,0,1,0,0,0,0
2016-08-22,2016,8246.9,-0.01262,0.218,-0.0244,0.1672,0.491,-0.3886,1.897,0.0023,-0.1316,0.0964,-0.058,0.0573,0.0026,-0.1349,0.0,0.0444,0.0471,0,1,0,0,0,0
2016-08-23,2016,8186.7,-0.0073,0.2219,-0.0316,0.158,0.5188,-0.3754,2.272,0.0028,-0.1308,0.2154,-0.0578,0.0646,0.00253,-0.1565,0.0,0.0373,0.0471,0,1,0,0,0,0
2016-08-24,2016,8224.33,0.0046,0.1479,-0.0271,0.1627,0.5438,-0.3729,2.006,0.0024,-0.1385,0.1601,-0.0568,0.0646,0.0023,-0.1086,0.0,0.0417,0.0471,0,1,0,0,0,0
2016-08-25,2016,8131.49,-0.01129,0.1471,-0.0381,0.1491,0.471,-0.3754,1.827,-0.0009,-0.1365,0.1262,-0.0584,0.0759,0.00234,-0.0885,0.0,0.0308,0.0471,0,1,0,0,0,0
2016-08-28,2016,8052.23,-0.00975,0.1498,-0.0475,0.1373,0.4474,-0.379,1.912,-0.0039,-0.1384,0.1452,-0.0578,0.0797,0.00256,-0.0687,0.0,0.0213,0.0471,0,1,0,0,0,0
2016-08-29,2016,8032.43,-0.00246,0.148,-0.0498,0.1338,0.4161,-0.3743,1.743,0.0023,-0.1321,0.1239,-0.0623,0.0756,0.00262,-0.1152,0.0,0.0188,0.0471,0,1,0,0,0,0
2016-08-30,2016,8080.81,0.00602,0.1482,-0.0441,0.1396,0.4224,-0.3816,1.971,0.0024,-0.132,0.1053,-0.0642,0.0756,0.00259,-0.0985,0.0,0.0247,0.0471,0,1,0,0,0,0
2016-08-31,2016,8158.04,0.00956,0.1408,-0.035,0.1494,0.4465,-0.3807,2.108,0.0023,-0.1498,0.1325,-0.0627,0.0756,0.00241,-0.1087,0.0,0.0339,0.0471,0,1,0,0,0,0
2016-09-01,2016,8136.44,-0.00265,0.1243,-0.0375,0.1453,0.4342,-0.3744,2.183,-0.0005,-0.1373,0.0997,-0.0682,0.0782,0.00236,-0.1252,0.0,0.0314,0.0471,0,1,0,0,0,0
2016-09-04,2016,8241.16,0.01287,0.1322,-0.0251,0.1587,0.5033,-0.3713,2.09,0.0005,-0.134,0.0958,-0.0704,0.0743,0.00229,-0.1332,0.0,0.0437,0.0471,0,1,0,0,0,0
2016-09-05,2016,8270.76,0.00359,0.1311,-0.0216,0.1614,0.4601,-0.3714,1.925,0.0019,-0.1324,0.0786,-0.0641,0.0743,0.00227,-0.1143,0.0,0.0471,0.0471,0,1,0,0,0,0
2016-09-06,2016,8202.43,-0.00826,0.1305,-0.0297,0.1503,0.434,-0.3684,2.173,0.0023,-0.1317,0.1072,-0.0714,0.0737,0.00218,-0.1271,0.0,0.0392,0.0405,0,1,0,0,0,0
